Website Date,Number of Dead
2014-01-06,1.0
2014-01-12,1.0
2014-01-14,1.0
2014-01-16,1.0
2014-01-17,1.0
2014-01-22,1.0
2014-01-24,1.0
2014-01-24,1.0
2014-01-25,1.0
2014-01-28,1.0
2014-01-29,1.0
2014-01-29,1.0
2014-02-11,1.0
2014-02-16,1.0
2014-02-16,1.0
2014-02-17,1.0
2014-02-18,1.0
2014-02-20,1.0
2014-02-21,1.0
2014-02-25,1.0
2014-03-04,1.0
2014-03-11,1.0
2014-03-13,1.0
2014-03-15,1.0
2014-03-15,1.0
2014-03-23,1.0
2014-03-26,1.0
2014-03-26,1.0
2014-03-30,1.0
2014-03-30,1.0
2014-03-30,1.0
2014-04-02,1.0
2014-04-10,1.0
2014-04-10,1.0
2014-04-14,1.0
2014-04-14,1.0
2014-04-14,1.0
2014-04-18,1.0
2014-04-23,1.0
2014-04-27,1.0
2014-04-27,1.0
2014-04-30,1.0
2014-05-01,1.0
2014-05-06,1.0
2014-05-08,1.0
2014-05-10,1.0
2014-05-13,1.0
2014-05-21,1.0
2014-05-22,1.0
2014-05-27,1.0
2014-05-28,1.0
2014-05-30,1.0
2014-05-30,1.0
2014-06-01,1.0
2014-06-03,1.0
2014-06-06,1.0
2014-06-09,1.0
2014-06-09,1.0
2014-06-10,1.0
2014-06-10,1.0
2014-06-12,1.0
2014-06-12,1.0
2014-06-12,1.0
2014-06-12,1.0
2014-06-13,1.0
2014-06-14,1.0
2014-06-14,1.0
2014-06-16,1.0
2014-06-18,1.0
2014-06-19,1.0
2014-06-19,1.0
2014-06-25,1.0
2014-06-28,1.0
2014-07-01,1.0
2014-07-02,1.0
2014-07-02,1.0
2014-07-05,1.0
2014-07-07,1.0
2014-07-10,1.0
2014-07-12,1.0
2014-07-13,1.0
2014-07-14,1.0
2014-07-17,1.0
2014-07-18,1.0
2014-07-24,1.0
2014-07-26,1.0
2014-07-27,1.0
2014-07-30,1.0
2014-07-30,1.0
2014-07-31,1.0
2014-08-01,1.0
2014-08-04,1.0
2014-08-05,1.0
2014-08-05,1.0
2014-08-05,1.0
2014-08-18,1.0
2014-08-21,1.0
2014-08-22,1.0
2014-08-25,1.0
2014-08-27,44.0
2014-09-03,1.0
2014-09-06,1.0
2014-09-07,1.0
2014-09-10,1.0
2014-09-10,1.0
2014-09-11,1.0
2014-09-12,1.0
2014-09-23,1.0
2014-09-25,1.0
2014-09-25,1.0
2014-09-26,1.0
2014-09-30,111.0
2014-01-02,1.0
2014-02-26,1.0
2014-03-27,1.0
2014-04-12,1.0
2014-04-15,1.0
2014-05-03,1.0
2014-06-17,1.0
2014-06-17,1.0
2014-07-06,1.0
2014-09-09,1.0
2014-10-01,1.0
2014-10-03,1.0
2014-10-09,1.0
2014-10-12,1.0
2014-10-15,1.0
2014-10-15,1.0
2014-10-19,1.0
2014-10-21,1.0
2014-10-24,1.0
2014-10-28,1.0
2014-10-29,1.0
2014-10-29,1.0
2014-10-30,1.0
2014-11-06,1.0
2014-11-10,1.0
2014-11-12,1.0
2014-11-16,1.0
2014-11-26,1.0
2014-11-27,1.0
2014-11-27,1.0
2014-11-27,1.0
2014-12-03,1.0
2014-12-06,1.0
2014-12-09,1.0
2014-12-13,1.0
2014-12-28,1.0
2014-12-28,1.0
2014-12-31,1.0
2014-03-30,1.0
2015-01-04,1.0
2015-01-09,1.0
2015-01-10,1.0
2015-01-25,1.0
2015-01-27,1.0
2015-01-27,1.0
2015-01-30,1.0
2015-02-06,1.0
2015-02-06,1.0
2015-02-18,1.0
2015-02-18,1.0
2015-02-21,1.0
2015-02-21,1.0
2015-02-23,1.0
2015-02-28,6.0
2015-03-06,1.0
2015-03-06,1.0
2015-03-06,1.0
2015-03-11,1.0
2015-03-17,1.0
2015-03-17,1.0
2015-03-17,1.0
2015-03-24,1.0
2015-03-26,1.0
2015-03-31,1.0
2015-04-06,1.0
2015-04-13,1.0
2015-04-13,1.0
2015-04-14,1.0
2015-04-15,1.0
2015-04-21,1.0
2015-04-23,1.0
2015-04-23,1.0
2015-04-24,1.0
2015-05-12,1.0
2015-05-18,1.0
2015-05-21,1.0
2015-05-22,1.0
2015-05-28,1.0
2015-05-28,1.0
2015-05-28,8.0
2015-05-28,
2015-05-30,1.0
2015-06-01,1.0
2015-06-01,1.0
2015-06-03,1.0
2015-06-08,1.0
2015-06-08,1.0
2015-06-10,1.0
2015-06-13,1.0
2015-06-16,1.0
2015-06-16,1.0
2015-06-16,1.0
2015-06-17,1.0
2015-06-17,1.0
2015-06-18,1.0
2015-06-18,1.0
2015-06-18,1.0
2015-06-20,1.0
2015-06-21,1.0
2015-06-22,1.0
2015-06-25,1.0
2015-06-27,1.0
2015-06-27,1.0
2015-06-28,1.0
2015-06-29,1.0
2015-06-30,1.0
2015-07-01,1.0
2015-07-01,1.0
2015-07-02,1.0
2015-07-04,1.0
2015-07-07,1.0
2015-07-09,1.0
2015-07-11,1.0
2015-07-14,1.0
2015-07-15,1.0
2015-07-16,1.0
2015-07-21,3.0
2015-07-28,2.0
2015-07-28,1.0
2015-07-28,1.0
2015-07-29,1.0
2015-07-29,1.0
2015-07-30,1.0
2015-07-30,1.0
2015-07-31,1.0
2015-08-01,1.0
2015-08-04,1.0
2015-08-05,1.0
2015-08-07,1.0
2015-08-08,1.0
2015-08-10,1.0
2015-08-10,1.0
2015-08-11,1.0
2015-08-13,1.0
2015-08-14,1.0
2015-08-14,1.0
2015-08-15,1.0
2015-08-16,1.0
2015-08-17,1.0
2015-08-17,1.0
2015-08-17,1.0
2015-08-18,1.0
2015-08-18,1.0
2015-08-18,1.0
2015-08-19,1.0
2015-08-20,1.0
2015-08-21,1.0
2015-08-21,1.0
2015-08-21,1.0
2015-08-22,1.0
2015-08-22,1.0
2015-08-23,1.0
2015-08-24,1.0
2015-08-24,1.0
2015-08-25,1.0
2015-08-25,1.0
2015-08-27,1.0
2015-08-28,1.0
2015-08-28,1.0
2015-09-01,1.0
2015-09-03,1.0
2015-09-05,1.0
2015-09-05,1.0
2015-09-06,1.0
2015-09-06,1.0
2015-09-07,1.0
2015-09-07,1.0
2015-09-07,1.0
2015-09-09,1.0
2015-09-10,1.0
2015-09-12,1.0
2015-09-12,1.0
2015-09-18,1.0
2015-09-20,1.0
2015-09-22,1.0
2015-09-23,1.0
2015-09-24,1.0
2015-09-24,5.0
2015-09-27,1.0
2015-09-27,1.0
2015-09-28,1.0
2015-09-29,1.0
2015-09-29,1.0
2015-10-07,1.0
2015-10-11,1.0
2015-10-12,1.0
2015-10-14,1.0
2015-10-14,1.0
2015-10-15,1.0
2015-10-16,1.0
2015-10-16,1.0
2015-10-18,1.0
2015-10-20,1.0
2015-10-21,1.0
2015-10-21,1.0
2015-10-21,1.0
2015-10-22,1.0
2015-10-29,1.0
2015-10-29,1.0
2015-11-03,1.0
2015-11-05,1.0
2015-11-06,1.0
2015-11-07,1.0
2015-11-08,1.0
2015-11-14,1.0
2015-11-16,1.0
2015-11-17,1.0
2015-11-17,1.0
2015-11-17,1.0
2015-11-17,1.0
2015-11-20,1.0
2015-11-21,1.0
2015-11-24,1.0
2015-11-24,1.0
2015-11-26,1.0
2015-11-28,2.0
2015-11-29,1.0
2015-12-01,1.0
2015-12-01,1.0
2015-12-03,1.0
2015-12-07,1.0
2015-12-09,1.0
2015-12-10,1.0
2015-12-24,1.0
2015-12-28,1.0
2015-12-29,1.0
2015-12-29,1.0
2015-12-29,1.0
2015-12-31,123.0
2015-01-16,1.0
2015-01-21,1.0
2015-01-29,1.0
2015-04-24,2.0
2015-06-07,1.0
2015-06-27,1.0
2015-07-02,1.0
2015-07-15,1.0
2015-08-04,1.0
2015-08-06,1.0
2015-09-27,1.0
2015-10-18,1.0
2016-01-05,1.0
2016-01-05,1.0
2016-01-08,4.0
2016-01-09,1.0
2016-01-13,1.0
2016-01-21,1.0
2016-01-25,1.0
2016-01-26,1.0
2016-01-26,1.0
2016-01-29,1.0
2016-01-31,1.0
2016-01-25,1.0
2016-02-09,11.0
2016-02-09,1.0
2016-02-18,4.0
2016-02-19,1.0
2016-02-21,1.0
2016-02-23,1.0
2016-02-25,1.0
2016-02-25,1.0
2016-02-28,1.0
2016-03-01,1.0
2016-03-03,1.0
2016-03-03,1.0
2016-03-06,1.0
2016-03-07,1.0
2016-03-07,1.0
2016-03-08,1.0
2016-03-14,1.0
2016-03-18,1.0
2016-03-19,1.0
2016-03-20,1.0
2016-03-20,1.0
2016-03-20,1.0
2016-03-20,1.0
2016-03-24,1.0
2016-03-26,1.0
2016-03-27,1.0
2016-03-28,2.0
2016-03-30,1.0
2016-04-01,1.0
2016-04-01,1.0
2016-04-05,1.0
2016-04-06,1.0
2016-04-07,1.0
2016-04-07,1.0
2016-04-08,1.0
2016-04-08,1.0
2016-04-12,1.0
2016-04-18,1.0
2016-04-21,1.0
2016-04-21,1.0
2016-04-23,1.0
2016-04-24,1.0
2016-04-29,1.0
2016-05-03,1.0
2016-05-03,1.0
2016-05-06,1.0
2016-05-11,1.0
2016-05-13,1.0
2016-05-13,1.0
2016-05-15,1.0
2016-05-15,1.0
2016-05-15,1.0
2016-05-18,1.0
2016-05-18,1.0
2016-05-22,1.0
2016-05-23,1.0
2016-05-25,1.0
2016-05-26,1.0
2016-05-27,1.0
2016-05-29,1.0
2016-05-30,1.0
2016-05-31,1.0
2016-05-31,1.0
2016-05-31,1.0
2016-06-01,1.0
2016-06-02,1.0
2016-06-02,1.0
2016-06-04,1.0
2016-06-06,1.0
2016-06-07,1.0
2016-06-07,1.0
2016-06-07,1.0
2016-06-07,1.0
2016-06-09,1.0
2016-06-09,1.0
2016-06-09,1.0
2016-06-09,1.0
2016-06-10,1.0
2016-06-10,1.0
2016-06-10,1.0
2016-06-10,1.0
2016-06-10,1.0
2016-06-13,1.0
2016-06-15,1.0
2016-06-15,1.0
2016-06-30,1.0
2016-06-15,3.0
2016-06-16,1.0
2016-06-16,1.0
2016-06-17,1.0
2016-06-19,1.0
2016-06-20,1.0
2016-06-22,1.0
2016-06-23,1.0
2016-06-23,1.0
2016-06-24,1.0
2016-06-25,1.0
2016-06-27,1.0
2016-06-30,1.0
2016-06-28,1.0
2016-06-29,1.0
2016-07-01,
2016-07-02,1.0
2016-07-04,1.0
2016-07-04,1.0
2016-07-05,1.0
2016-07-05,1.0
2016-07-06,1.0
2016-07-08,1.0
2016-07-08,1.0
2016-07-08,1.0
2016-07-09,1.0
2016-07-09,1.0
2016-07-10,1.0
2016-07-11,1.0
2016-07-11,1.0
2016-07-12,1.0
2016-07-13,1.0
2016-07-14,1.0
2016-07-15,1.0
2016-07-15,1.0
2016-07-15,28.0
2016-07-15,1.0
2016-07-16,1.0
2016-07-16,1.0
2016-07-16,1.0
2016-07-18,1.0
2016-07-19,1.0
2016-07-19,1.0
2016-07-19,1.0
2016-07-20,1.0
2016-07-21,1.0
2016-07-21,1.0
2016-07-21,1.0
2016-07-23,1.0
2016-07-24,1.0
2016-07-25,1.0
2016-07-26,1.0
2016-07-27,1.0
2016-07-27,1.0
2016-07-28,1.0
2016-07-29,1.0
2016-07-30,1.0
2016-07-31,1.0
2016-07-31,1.0
2016-08-01,1.0
2016-08-01,1.0
2016-08-01,1.0
2016-08-01,1.0
2016-08-04,1.0
2016-08-04,1.0
2016-08-06,1.0
2016-08-06,1.0
2016-08-06,1.0
2016-08-06,1.0
2016-08-07,1.0
2016-08-07,1.0
2016-08-08,1.0
2016-08-08,1.0
2016-08-08,1.0
2016-08-08,1.0
2016-08-08,1.0
2016-08-09,1.0
2016-08-10,1.0
2016-08-10,1.0
2016-08-13,1.0
2016-08-16,1.0
2016-08-21,1.0
2016-08-22,1.0
2016-08-23,1.0
2016-08-23,1.0
2016-08-24,1.0
2016-08-26,1.0
2016-08-26,1.0
2016-08-26,1.0
2016-08-27,1.0
2016-08-29,1.0
2016-08-30,1.0
2016-08-31,6.0
2016-09-02,1.0
2016-09-02,1.0
2016-09-02,1.0
2016-09-03,1.0
2016-09-03,1.0
2016-09-03,1.0
2016-09-06,1.0
2016-09-07,1.0
2016-09-07,1.0
2016-09-08,1.0
2016-09-10,1.0
2016-09-11,1.0
2016-09-11,1.0
2016-09-12,1.0
2016-09-12,1.0
2016-09-13,1.0
2016-09-13,1.0
2016-09-14,1.0
2016-09-16,1.0
2016-09-17,1.0
2016-09-19,25.0
2016-09-19,1.0
2016-09-19,1.0
2016-09-20,1.0
2016-09-20,1.0
2016-09-20,1.0
2016-09-22,1.0
2016-09-22,1.0
2016-09-23,1.0
2016-09-24,
2016-09-27,1.0
2016-09-28,1.0
2016-09-30,1.0
2016-10-02,1.0
2016-10-06,1.0
2016-10-10,1.0
2016-10-10,1.0
2016-10-11,1.0
2016-10-12,1.0
2016-10-12,1.0
2016-10-14,1.0
2016-10-14,1.0
2016-10-14,1.0
2016-10-14,1.0
2016-10-19,1.0
2016-10-19,1.0
2016-10-19,1.0
2016-10-22,1.0
2016-10-22,1.0
2016-10-23,1.0
2016-10-24,2.0
2016-10-24,1.0
2016-10-25,1.0
2016-10-27,1.0
2016-10-29,1.0
2016-10-31,1.0
2016-11-04,1.0
2016-11-04,1.0
2016-11-09,1.0
2016-11-12,1.0
2016-11-16,1.0
2016-11-16,1.0
2016-11-17,1.0
2016-11-21,1.0
2016-11-23,1.0
2016-11-23,1.0
2016-11-18,5.0
2016-11-27,1.0
2016-11-29,1.0
2016-12-07,1.0
2016-12-08,1.0
2016-12-14,1.0
2016-12-14,1.0
2016-12-16,1.0
2016-12-16,1.0
2016-12-19,1.0
2016-12-19,1.0
2016-12-20,1.0
2016-12-20,1.0
2016-12-20,1.0
2016-12-21,1.0
2016-12-22,1.0
2016-12-25,1.0
2016-12-28,1.0
2016-12-30,1.0
2016-12-31,18.0
2016-12-31,16.0
2016-08-11,1.0
2016-01-17,1.0
2016-04-07,1.0
2016-06-20,1.0
2016-06-27,1.0
2016-07-21,1.0
2016-07-30,1.0
2016-07-30,1.0
2016-08-09,1.0
2016-08-10,1.0
2016-09-16,1.0
2016-09-30,1.0
2016-10-17,1.0
2016-11-08,1.0
2016-11-08,1.0
2017-01-02,1.0
2017-01-03,1.0
2017-01-03,1.0
2017-01-04,1.0
2017-01-07,1.0
2017-01-07,1.0
2017-01-07,1.0
2017-01-08,1.0
2017-01-09,1.0
2017-01-09,1.0
2017-01-10,1.0
2017-01-11,1.0
2017-01-13,1.0
2017-01-13,1.0
2017-01-13,1.0
2017-01-15,1.0
2017-01-16,1.0
2017-01-17,1.0
2017-01-17,1.0
2017-01-18,1.0
2017-01-18,1.0
2017-01-18,1.0
2017-01-18,1.0
2017-01-19,1.0
2017-01-21,
2017-01-23,1.0
2017-01-23,1.0
2017-01-24,1.0
2017-01-24,1.0
2017-01-25,1.0
2017-01-26,1.0
2017-01-26,1.0
2017-01-27,1.0
2017-01-27,1.0
2017-01-27,1.0
2017-01-29,1.0
2017-11-19,1.0
2017-11-19,1.0
2017-01-30,1.0
2017-01-30,1.0
2017-01-30,1.0
2017-01-31,1.0
2017-01-31,1.0
2017-02-01,1.0
2017-02-01,1.0
2017-02-01,1.0
2017-02-05,1.0
2017-02-05,1.0
2017-02-06,1.0
2017-02-06,1.0
2017-02-08,1.0
2017-02-09,1.0
2017-02-09,1.0
2017-02-10,1.0
2017-02-10,1.0
2017-02-10,1.0
2017-02-11,1.0
2017-02-12,1.0
2017-02-12,1.0
2017-02-13,1.0
2017-02-14,1.0
2017-02-17,1.0
2017-02-17,1.0
2017-02-18,1.0
2017-02-19,1.0
2017-02-20,1.0
2017-02-22,1.0
2017-02-23,1.0
2017-02-23,2.0
2017-02-24,1.0
2017-02-25,1.0
2017-02-27,1.0
2017-02-28,1.0
2017-02-28,1.0
2017-03-01,1.0
2017-03-06,1.0
2017-03-07,1.0
2017-03-10,1.0
2017-03-10,1.0
2017-03-13,2.0
2017-03-15,1.0
2017-03-16,1.0
2017-03-21,1.0
2017-03-29,1.0
2017-03-25,1.0
2017-04-02,1.0
2017-04-07,1.0
2017-04-11,1.0
2017-04-14,1.0
2017-04-15,1.0
2017-04-17,1.0
2017-04-17,1.0
2017-04-19,1.0
2017-04-20,1.0
2017-04-20,1.0
2017-04-20,1.0
2017-04-21,1.0
2017-04-24,1.0
2017-04-26,1.0
2017-05-02,1.0
2017-05-02,1.0
2017-05-03,1.0
2017-05-05,1.0
2017-05-06,1.0
2017-05-06,1.0
2017-05-07,1.0
2017-05-14,1.0
2017-05-15,1.0
2017-05-19,1.0
2017-05-21,1.0
2017-05-22,1.0
2017-05-22,1.0
2017-05-25,1.0
2017-05-25,1.0
2017-05-25,1.0
2017-05-26,1.0
2017-05-27,1.0
2017-05-27,1.0
2017-05-29,1.0
2017-05-29,1.0
2017-05-30,1.0
2017-05-30,1.0
2017-05-31,1.0
2017-05-31,1.0
2017-05-31,1.0
2017-06-06,1.0
2017-06-07,1.0
2017-06-08,1.0
2017-06-10,1.0
2017-06-12,1.0
2017-06-12,1.0
2017-06-12,1.0
2017-06-13,1.0
2017-06-14,1.0
2017-06-15,1.0
2017-06-16,1.0
2017-06-16,1.0
2017-06-17,1.0
2017-06-17,1.0
2017-06-17,1.0
2017-06-17,1.0
2017-06-17,1.0
2017-06-17,1.0
2017-06-17,1.0
2017-06-17,1.0
2017-06-18,1.0
2017-06-18,1.0
2017-06-20,1.0
2017-06-20,1.0
2017-06-20,1.0
2017-06-20,1.0
2017-06-24,1.0
2017-06-25,1.0
2017-06-26,2.0
2017-06-26,1.0
2017-06-26,1.0
2017-06-27,1.0
2017-06-27,1.0
2017-06-28,1.0
2017-06-28,1.0
2017-06-28,1.0
2017-06-28,1.0
2017-06-29,1.0
2017-06-29,1.0
2017-06-30,1.0
2017-07-02,1.0
2017-07-02,1.0
2017-07-05,1.0
2017-07-05,1.0
2017-07-05,1.0
2017-07-06,1.0
2017-07-06,1.0
2017-07-09,1.0
2017-07-09,1.0
2017-07-10,1.0
2017-07-11,1.0
2017-07-14,1.0
2017-07-15,1.0
2017-07-17,1.0
2017-07-17,1.0
2017-07-17,1.0
2017-07-18,1.0
2017-07-18,1.0
2017-07-20,1.0
2017-07-21,1.0
2017-07-21,1.0
2017-07-23,10.0
2017-07-23,1.0
2017-07-24,5.0
2017-07-24,1.0
2017-07-25,1.0
2017-07-26,1.0
2017-07-26,1.0
2017-07-30,1.0
2017-08-01,1.0
2017-08-02,1.0
2017-08-02,1.0
2017-08-03,1.0
2017-08-06,1.0
2017-08-07,1.0
2017-08-07,1.0
2017-08-10,1.0
2017-08-10,1.0
2017-08-10,2.0
2017-08-11,1.0
2017-08-12,1.0
2017-08-12,1.0
2017-08-13,1.0
2017-08-15,1.0
2017-08-16,1.0
2017-08-18,1.0
2017-08-20,1.0
2017-08-22,1.0
2017-08-22,1.0
2017-08-24,
2017-08-25,1.0
2017-08-25,1.0
2017-08-27,1.0
2017-08-28,1.0
2017-08-29,1.0
2017-08-30,1.0
2017-08-31,1.0
2017-08-31,1.0
2017-09-02,1.0
2017-09-02,1.0
2017-09-04,1.0
2017-09-05,1.0
2017-09-06,1.0
2017-09-06,1.0
2017-09-06,1.0
2017-09-06,1.0
2017-09-09,1.0
2017-09-09,1.0
2017-09-11,1.0
2017-09-12,1.0
2017-09-12,1.0
2017-09-13,1.0
2017-09-14,1.0
2017-09-16,1.0
2017-09-17,2.0
2017-09-18,1.0
2017-09-21,1.0
2017-09-21,1.0
2017-09-22,1.0
2017-09-22,1.0
2017-09-24,1.0
2017-09-25,1.0
2017-09-29,1.0
2017-10-01,1.0
2017-10-03,1.0
2017-10-04,1.0
2017-10-07,1.0
2017-10-08,1.0
2017-10-08,1.0
2017-10-11,1.0
2017-10-19,1.0
2017-10-20,1.0
2017-10-20,1.0
2017-10-20,1.0
2017-10-23,8.0
2017-10-24,1.0
2017-10-27,1.0
2017-10-30,1.0
2017-11-01,1.0
2017-11-03,1.0
2017-11-05,1.0
2017-11-06,1.0
2017-11-06,1.0
2017-11-09,1.0
2017-11-09,1.0
2017-11-11,1.0
2017-11-15,1.0
2017-11-16,1.0
2017-11-17,1.0
2017-11-24,1.0
2017-11-27,1.0
2017-11-28,1.0
2017-11-29,1.0
2017-11-29,1.0
2017-11-30,1.0
2017-12-03,1.0
2017-12-03,1.0
2017-12-07,1.0
2017-12-07,1.0
2017-12-07,1.0
2017-12-07,1.0
2017-12-07,1.0
2017-12-08,1.0
2017-12-08,1.0
2017-12-09,2.0
2017-12-09,1.0
2017-12-09,2.0
2017-12-09,3.0
2017-12-13,7.0
2017-12-14,1.0
2017-12-18,1.0
2017-12-23,1.0
2017-12-23,1.0
2017-12-30,1.0
2017-12-31,2.0
2017-12-31,1.0
2017-12-31,4.0
2017-12-31,48.0
2017-12-31,3.0
2017-12-31,2.0
2017-12-31,1.0
2017-12-31,2.0
2017-12-31,4.0
2017-04-10,1.0
2017-05-29,1.0
2017-07-19,1.0
2017-09-21,1.0
2017-11-14,1.0
2018-01-02,1.0
2018-01-02,1.0
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-14,1.0
2018-01-15,1.0
2018-01-17,1.0
2018-01-19,1.0
2018-01-19,1.0
2018-01-20,1.0
2018-01-21,1.0
2018-01-21,5.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-26,1.0
2018-01-26,1.0
2018-01-31,1.0
2018-01-31,1.0
2018-01-31,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-03,1.0
2018-02-05,1.0
2018-02-05,1.0
2018-02-05,1.0
2018-02-07,1.0
2018-02-10,1.0
2018-02-12,1.0
2018-02-14,1.0
2018-02-14,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-17,1.0
2018-02-17,1.0
2018-02-18,1.0
2018-02-18,3.0
2018-02-20,1.0
2018-02-23,1.0
2018-02-27,1.0
2018-02-27,1.0
2018-02-27,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-10,1.0
2018-03-11,1.0
2018-03-11,1.0
2018-03-13,1.0
2018-03-13,1.0
2018-03-13,1.0
2018-03-15,1.0
2018-03-18,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-24,1.0
2018-03-27,1.0
2018-03-27,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-03-29,1.0
2018-04-01,1.0
2018-04-02,1.0
2018-04-03,1.0
2018-04-03,1.0
2018-04-06,1.0
2018-04-09,1.0
2018-04-10,1.0
2018-04-10,1.0
2018-04-12,2.0
2018-04-13,1.0
2018-04-14,1.0
2018-04-16,1.0
2018-04-17,1.0
2018-04-18,1.0
2018-04-23,1.0
2018-04-24,1.0
2018-04-24,1.0
2018-04-25,1.0
2018-04-25,1.0
2018-04-25,1.0
2018-04-26,1.0
2018-04-29,1.0
2018-05-02,1.0
2018-05-03,1.0
2018-05-06,1.0
2018-05-07,1.0
2018-05-08,1.0
2018-05-09,1.0
2018-05-10,1.0
2018-05-10,1.0
2018-05-11,1.0
2018-05-11,1.0
2018-05-11,1.0
2018-05-12,1.0
2018-05-13,1.0
2018-05-13,1.0
2018-05-16,1.0
2018-05-16,1.0
2018-05-16,1.0
2018-05-17,1.0
2018-05-19,1.0
2018-05-21,1.0
2018-05-21,1.0
2018-05-23,1.0
2018-05-23,1.0
2018-05-23,1.0
2018-05-24,1.0
2018-05-26,1.0
2018-05-26,1.0
2018-05-29,1.0
2018-05-29,1.0
2018-05-31,1.0
2018-05-31,1.0
2018-06-01,1.0
2018-06-02,1.0
2018-06-03,1.0
2018-06-04,1.0
2018-06-04,1.0
2018-06-04,1.0
2018-06-04,1.0
2018-06-05,1.0
2018-06-06,1.0
2018-06-07,1.0
2018-06-07,1.0
2018-06-07,1.0
2018-06-08,1.0
2018-06-08,1.0
2018-06-09,1.0
2018-06-10,1.0
2018-06-11,1.0
2018-06-11,1.0
2018-06-12,1.0
2018-06-13,1.0
2018-06-13,1.0
2018-06-13,1.0
2018-06-13,1.0
2018-06-13,1.0
2018-06-14,1.0
2018-06-15,1.0
